<17 Jul 2026 10:51:33> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:33> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:41> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:41> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:41> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:41> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:41> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:49> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:49> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:49> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:49> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:49> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:57> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:57> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:57> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:57> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:51:57> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:05> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:05> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:05> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:05> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:05> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:13> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:13> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
<17 Jul 2026 10:52:13> [TSimMgr_Client.LogEventRecv] <0031> CPID_UDP_PLATFORM_MOVE
